truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
1.53772,1.07635,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.63047,2.09295,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.61584,1.31107,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.24575,1.73765,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
0.134697,0.291194,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.0831717,0.225778,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
1.90384,1.37795,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
1.58278,0.687256,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
2.22967,1.32602,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.866068,1.38857,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.224061,0.442221,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.548221,0.115067,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
1.22652,0.15849,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
1.87345,0.797242,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.132326,0.732168,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.19187,0.404986,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
0.61575,2.1676,1,1.53915,-65.0616,0.0381453,-652.911,-0.758698,-61.4003,0.0398056,-655.728,-0.761215
1.88497,1.16475,1,1.74206,-167.982,-0.209264,-422.72,-0.633066,-159.012,-0.204097,-419.739,-0.626635
1.83796,1.24973,1,1.74206,-167.982,-0.209264,-422.72,-0.633066,-159.012,-0.204097,-419.739,-0.626635
1.6431,0.949912,1,1.74206,-167.982,-0.209264,-422.72,-0.633066,-159.012,-0.204097,-419.739,-0.626635
1.76106,1.04455,1,1.74206,-167.982,-0.209264,-422.72,-0.633066,-159.012,-0.204097,-419.739,-0.626635
0.600845,0.510546,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
1.16484,1.42747,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.0115377,0.286255,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
1.47807,0.892517,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.944792,1.54125,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.832643,0.775545,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.320685,0.365728,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
2.17528,1.73688,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
1.00481,0.667405,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.233274,0.108646,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
0.521849,2.16707,1,1.46496,-518.934,0.153992,-354.596,-1.05477,-519.923,0.153437,-357.843,-1.06014
2.22415,0.651916,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
2.13833,1.36378,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
1.00891,0.299921,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
1.79146,0.876548,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
0.951421,1.92657,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
1.25628,2.15843,1,1.27277,21.8613,0.519327,-1231.36,-1.4585,55.6614,0.555485,-1267.73,-1.506
0.405919,0.429412,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
0.988919,0.0582735,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
2.45602,0.51232,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
1.87307,0.999995,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
2.22817,0.18308,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
0.418435,1.77586,1,1.10312,-326.236,0.824814,-208.815,-1.23329,-332.471,0.812533,-201.615,-1.25955
