truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
0.0812623,2.14816,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.76297,2.30114,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.560373,1.08645,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.518061,1.13199,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.65584,0.0296133,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.97073,1.10504,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.53675,2.38234,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.462629,0.434531,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.60044,0.667888,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.46229,2.46868,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.0769754,0.0865622,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.74808,1.80166,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.523445,0.415451,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.14764,2.1305,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.597924,0.92731,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.54654,1.84955,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
1.53882,0.382274,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.445261,1.59061,1,1.93268,-298.135,-0.541297,260.433,-1.05158,-295.314,-0.548939,262.808,-1.05004
0.921944,0.558557,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.419447,0.73538,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.01093,1.50213,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
2.26344,1.85246,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.67189,1.08578,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.33042,0.208213,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.907143,1.36314,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.0463739,0.490812,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.187471,0.180416,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.04824,0.691911,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.53406,1.92506,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
0.814384,0.381504,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.67507,1.25383,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.90898,1.56423,1,0.944332,3050.52,4.0546,-3836.94,-5.97883,3223.13,4.30585,-3745.79,-5.86495
1.40024,0.0297732,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
1.9615,0.585233,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.824521,0.794434,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
2.12833,0.496412,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.0495494,1.18469,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
2.38965,2.39132,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.0665105,0.0203759,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.0322124,1.06066,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
1.79296,0.709756,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
1.37283,0.346397,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.950362,2.02451,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.113568,0.40425,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
0.977667,1.24649,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
1.70531,1.44796,1,0.808177,1052.02,1.74936,-288.715,-1.55798,1054.77,1.76082,-286.429,-1.55756
2.08934,0.794859,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.910398,0.497331,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.268549,1.78953,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
2.07913,1.31379,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.900199,0.0216653,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.278807,1.27048,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.225669,0.3099,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.710129,1.25024,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
1.64598,2.19064,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
1.04747,2.33147,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.86271,0.531069,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
0.484472,1.21321,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
2.39471,0.587273,1,1.4546,1300.19,1.29991,-4999.07,-7.99251,1104.83,0.987788,-5227.87,-8.3504
1.69912,0.654956,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
0.37297,0.664389,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.83643,0.532098,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
0.328224,1.56108,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.29497,0.065238,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
0.750782,0.687318,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.55051,0.11753,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.06853,0.690541,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.76686,0.518061,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.25673,1.61572,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.92727,0.0555631,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
0.304127,1.57077,1,1.61172,253.999,-0.0586694,-390.847,-1.02255,255.56,-0.0576064,-388.653,-1.02175
1.76263,1.96359,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
1.62437,2.0766,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
0.275765,0.153452,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
0.674239,1.11503,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
2.17603,1.76974,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
1.22592,0.808135,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
0.151571,0.212869,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
2.05177,1.71031,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
1.10168,0.748702,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
0.0365373,0.114477,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
0.936119,0.810083,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
1.83565,1.73463,1,0.950796,3457.47,3.83317,-4709.65,-5.62169,3695.51,4.08733,-4720.88,-5.63599
1.04025,0.741027,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
2.15711,0.339485,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
2.3388,1.51956,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
2.28829,2.31389,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
0.665584,1.75677,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
1.88812,0.0263379,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
1.63539,0.183821,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
1.04734,1.7943,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
0.0333409,1.30399,1,1.5535,-345.315,0.0189892,934.361,-0.862226,-346.385,0.0230326,941.215,-0.871608
1.79103,0.0123938,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.48043,0.2972,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.32023,0.00659492,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
2.30574,2.17028,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.1345,0.66637,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.823843,0.976012,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.97063,1.72661,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
2.19476,2.43174,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
2.19928,1.04351,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.22091,0.0587675,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.703783,0.144927,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.985618,0.145205,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.37362,1.06526,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.60826,0.295407,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.806505,0.510624,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.47289,0.99985,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.590166,0.0948555,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
0.872118,0.385056,1,1.18658,-272.265,0.486395,602.809,-0.661484,-268.489,0.484644,603.877,-0.660804
1.60051,1.18072,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.29488,0.71668,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
2.01986,1.5944,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.124489,0.302996,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
1.77087,2.20039,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
2.26107,2.17148,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
1.94901,2.03703,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.0536433,0.139622,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
1.52965,1.62331,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.365708,0.274081,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
1.84172,1.75779,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
1.16445,0.895804,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.486899,0.764347,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
2.13827,2.4245,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
2.25636,1.96365,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
0.605007,0.303501,1,1.30851,-88.3251,0.948495,-262.407,3.50338,-87.4669,0.981436,-261.593,3.51605
2.20909,1.75991,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.947847,1.38686,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
2.14504,1.71628,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.388373,0.346927,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.17018,1.88715,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.68802,1.32846,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.928894,0.589894,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
2.43945,1.5204,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.99615,1.07867,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.898591,1.85267,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.34186,2.29432,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.85548,1.76627,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.477292,0.979185,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
2.22428,0.737495,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
2.0105,0.991546,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.56722,0.549858,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
0.258411,0.637208,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.01754,0.101327,1,1.5551,-508.833,0.0298836,204.408,-1.76857,-509.467,0.0317453,206.076,-1.76038
1.78831,2.02476,1,1.02812,85.0144,0.706191,-261.284,-0.605975,85.9537,0.705633,-260.764,-0.607479
1.22793,2.41621,1,1.02812,85.0144,0.706191,-261.284,-0.605975,85.9537,0.705633,-260.764,-0.607479
0.0600651,0.232804,1,1.02812,85.0144,0.706191,-261.284,-0.605975,85.9537,0.705633,-260.764,-0.607479
